timestamp,curr1,curr2,price
1500593106,USD,BTC,2768.113
1500593106,USD,BTC,2768.12
1500593111,USD,BTC,2768.12
1500593111,USD,BTC,2768.12
1500593116,USD,BTC,2764.7001
1500593127,GBP,BTC,2226.9999
1500593127,GBP,BTC,2200.0002
1500593128,USD,BTC,2765.42
1500593128,USD,BTC,2768.2558
1500593129,USD,BTC,2770.0274
1500593131,USD,BTC,2755.3361
1500593144,BTC,ETH,0.08136911
1500593145,EUR,BTC,2326.5848
1500593146,EUR,BTC,2328.8914
1500593148,BTC,ETH,0.08136911
1500593148,USD,BTC,2769.4199
1500593149,USD,BTC,2769.42
1500593150,USD,BTC,2769.5389
1500593152,USD,BTC,2769.5389
1500593153,USD,BTC,2771.1004
1500593153,USD,BTC,2771.1193
1500593154,USD,BTC,2773.1187
1500593154,USD,BTC,2773.1187
1500593156,USD,BTC,2773.5318
1500593158,BTC,ETH,0.08153185
1500593158,USD,BTC,2773.5318
1500593162,USD,BTC,2773.7974
1500593162,USD,BTC,2773.7974
1500593163,USD,BTC,2773.7974
1500593164,BTC,ETH,0.081369
1500593166,USD,BTC,2774.856
1500593167,USD,BTC,2774.856
1500593167,USD,BTC,2777.2695
1500593167,BTC,ETH,0.08153185
1500593171,USD,BTC,2778.2819
1500593172,USD,BTC,2778.2819
1500593172,BTC,ETH,0.08136902
1500593174,USD,BTC,2780.1222
1500593175,USD,BTC,2780.5038
1500593176,BTC,ETH,0.08136902
1500593177,USD,BTC,2780.5038
1500593177,BTC,ETH,0.08339881
1500593178,USD,BTC,2780.5038
1500593179,BTC,ETH,0.08136902
1500593181,USD,BTC,2780.5038
1500593182,USD,BTC,2780.5761
1500593183,USD,ETH,224.86
1500593183,USD,ETH,224.85
1500593184,USD,ETH,224.33840001
1500593187,USD,BTC,2789.2102
1500593187,USD,ETH,224.53720001
1500593188,USD,ETH,224.5372
1500593189,USD,BTC,2780.5037
1500593189,USD,BTC,2789.2102
1500593189,USD,ETH,224.52720001
1500593189,USD,ETH,224.50582936
1500593189,BTC,ETH,0.081369
1500593189,USD,BTC,2781.0558
1500593189,USD,ETH,224.49942935
1500593189,USD,ETH,224.49942936
1500593189,USD,BTC,2781.0559
1500593189,BTC,ETH,0.081369
1500593189,USD,BTC,2781.0558
1500593189,USD,BTC,2781.0558
1500593191,USD,ETH,224.50582936
1500593195,EUR,BTC,2345.2459
1500593195,USD,BTC,2789.2101
1500593195,BTC,ETH,0.08058167
1500593197,USD,BTC,2789.2102
1500593197,BTC,ETH,0.08058167
1500593198,USD,BTC,2789.2102
1500593198,BTC,ETH,0.08058167
1500593198,USD,ETH,224.87903986
1500593198,USD,ETH,227.29009987
1500593200,USD,BTC,2789.2102
1500593203,BTC,ETH,0.0805816
1500593203,BTC,ETH,0.08136817
1500593208,GBP,BTC,2200.0001
1500593208,USD,BTC,2789.2102
1500593209,EUR,BTC,2342.0591
1500593210,BTC,ETH,0.081235
1500593214,BTC,ETH,0.0813677
1500593214,USD,BTC,2789.2102
1500593214,USD,BTC,2789.2102
1500593214,USD,BTC,2789.2102
1500593215,BTC,ETH,0.081368
1500593217,USD,BTC,2789.56
1500593217,USD,ETH,226.9188
1500593217,BTC,ETH,0.081368
1500593217,USD,BTC,2792.9486
1500593218,USD,BTC,2795.641
1500593220,BTC,ETH,0.0805816
1500593225,USD,BTC,2795.6408
1500593228,USD,ETH,224.39256262
1500593231,GBP,BTC,2200.0002
1500593231,USD,BTC,2793.13
1500593232,BTC,ETH,0.08064
1500593234,USD,ETH,224.3462074
